"drivers_type","loss_year","loss_area_ha","gross_carbon_emissions_Mg"
"Unknown",2013,262.2464798759146,89728.06315976681
"Wildfire",2013,235.29482113868278,70513.65466493335
"Hard commodities",2014,22.783742207215717,11273.869844330096
"Logging",2014,396.75054823749764,211147.64950651492
"Other natural disturbances",2014,63.21166163720379,29245.4727600202
"Permanent agriculture",2014,3862.5743391631913,1778755.1390864898
"Settlements & Infrastructure",2014,20.911566543259553,8810.202063165198
"Unknown",2014,128.2923001132476,45130.357592842825
"Wildfire",2014,135.00803009996093,52441.87026810263
"Hard commodities",2015,8.75957563183377,3923.489426229683
"Logging",2015,427.29820680568577,233469.9327218666
"Other natural disturbances",2015,31.132251394824205,15526.345864282122
"Permanent agriculture",2015,4536.244312369961,2091945.276882454
"Settlements & Infrastructure",2015,8.516337886597222,3952.6159684118356
"Unknown",2015,54.16307829003039,19016.619156694553
"Wildfire",2015,62.99388206340712,23367.183524147473
"Hard commodities",2016,20.590414861794713,10506.698274397282
"Logging",2016,416.00399898353726,225612.1024353937
"Other natural disturbances",2016,105.31022172878691,37767.53624103844
"Permanent agriculture",2016,6577.104433856816,3256775.1795636187
"Settlements & Infrastructure",2016,41.09189073273222,17570.04825638014
"Unknown",2016,63.12980321033854,22334.55225403357
"Wildfire",2016,187.51606624127817,58340.87726168399
"Hard commodities",2017,4.228724858237848,2010.2983194471929
"Logging",2017,577.1659956630849,305477.4305245947
"Other natural disturbances",2017,35.64037408716689,14452.732196921545
"Permanent agriculture",2017,5055.798611302705,2486574.905028582
"Settlements & Infrastructure",2017,12.824105860163844,5191.6761170089285
"Shifting cultivation",2017,0.1464059165950521,60.7706140685569
"Unknown",2017,24.316418887080076,8785.352071475914
"Wildfire",2017,212.75722823826294,61755.710055998126
"Hard commodities",2018,9.553304848758682,4625.502167177635
"Logging",2018,1168.979625991125,553051.2015694656
"Other natural disturbances",2018,101.90559844708875,38617.309892138604
"Permanent agriculture",2018,7798.049438697989,3860381.6821796796
"Settlements & Infrastructure",2018,26.395435943019752,10631.568626640454
"Shifting cultivation",2018,0.5854913862782118,255.10658712195982
"Unknown",2018,46.27818048419161,16391.30555464795
"Wildfire",2018,879.8829602292648,247760.60187949825
"Hard commodities",2019,19.651529649056,9494.591642324416
"Logging",2019,509.19699799829965,245963.19312441372
"Other natural disturbances",2019,85.81763756152344,29996.77494277969
"Permanent agriculture",2019,5549.801412170112,2725060.5570476446
"Settlements & Infrastructure",2019,11.920280828090277,5394.865335346917
"Unknown",2019,26.079219026376958,9192.689945067817
"Wildfire",2019,294.2719672513933,90523.85388172614
"Hard commodities",2020,21.190345318579638,9738.581217544015
"Logging",2020,529.1393850385775,261181.04790433208
"Other natural disturbances",2020,53.07501709323677,18760.058917269984
"Permanent agriculture",2020,3768.8841911137447,1873969.1748850513
"Settlements & Infrastructure",2020,13.030035669780816,6025.558823014643
"Shifting cultivation",2020,1.894037538345269,988.3875583535646
"Unknown",2020,21.90334229111979,8156.980463653666
"Wildfire",2020,209.20695771723305,58367.88568236552
"Hard commodities",2021,54.23041419239801,27655.763962161862
"Logging",2021,1022.0501990597081,487536.7460325034
"Other natural disturbances",2021,85.29775719982314,27804.203147812852
"Permanent agriculture",2021,4399.821304824566,2281840.3642866127
"Settlements & Infrastructure",2021,15.3526227820421,7317.084063306248
"Shifting cultivation",2021,4.649539641355252,2305.6007621743074
"Unknown",2021,33.56031851383354,11579.07532693239
"Wildfire",2021,1240.6843531980696,282956.6037667368
"Hard commodities",2022,16.292104903412547,8846.929379794223
"Logging",2022,1045.5596965910645,527009.3220983591
"Other natural disturbances",2022,73.25800742726237,25665.699088540663
"Permanent agriculture",2022,3989.083616649166,2068694.6835394828
"Settlements & Infrastructure",2022,24.76805300337674,11067.581646935938
"Shifting cultivation",2022,1.2332824847276476,640.1279134309799
"Unknown",2022,27.371879941309686,12031.035573577132
"Wildfire",2022,446.06037114779673,125370.63325539143
"Hard commodities",2023,12.992565481775179,7483.422004851849
"Logging",2023,757.754217021659,391825.28511903627
"Other natural disturbances",2023,42.1904869209809,14812.696540950608
"Permanent agriculture",2023,3988.119838033536,2029270.0691263701
"Settlements & Infrastructure",2023,38.655721157800556,17072.559781103646
"Unknown",2023,19.075950816707902,8188.364351603209
"Wildfire",2023,419.09317260899445,126734.6095501174
"Hard commodities",2024,16.138676605707467,8469.567183615633
"Logging",2024,1347.0205714187457,663163.7507889095
"Other natural disturbances",2024,72.16275183651807,22418.43779386575
"Permanent agriculture",2024,4438.076470735068,2284547.57348251
"Settlements & Infrastructure",2024,16.232110280338542,8210.611105535983
"Shifting cultivation",2024,0.5854506427539062,234.16343356431722
"Unknown",2024,41.822572206013454,17032.436816033893
"Wildfire",2024,1704.5854507727254,405558.0775738997
