TIPO_DATO,ENTIDAD,CB114_1,CB114_2,CB114_3,CB114_4,CB121_1,CB121_2,CB121_2_1,CB121_3,CB121_3_1,CB121_3_2,CB121_4,CB121_5,CB121_6,CB121_7,CB121_VACAS,CB122,CB122_01,CB131_1,CB131_2,CB131_3,CB131_3_1,CB131_3_1_1,CB131_NO_CLAS,CB161_1,CB161_2,CB161_3,CB161_4,CB161_NO_CLAS,CP112,CP121_1,CP121_1_1,CP121_2,CP121_2_1,CP121_3,CP121_4,CP121_5,CP121_5_1,CP121_6,CP121_7,CP121_7_3,CP121_DESTETE,CP121_MUEREN,CP131_1,CP131_2,CP131_3,CP131_3_1,CP131_NO_CLAS,ESTATUS
Estimación,Jalisco,578311,548016,438037,764500,24374,410419,2.4,477807,5.7,505.2,82780,529981,446043,317236,763278,360811,5638606,288431,1134307,884413,274516,21713,40225,1054769,224511,630719,397151,21713,1819475,466830,373150,994610,92.6,82545,1477,52984,188.7,5836,215193,652636,5.9,98150,84766,652600,1068069,314543,14040,Cifras Definitivas
Límite de confianza inferior,Jalisco,526650,490815,396435,711200,14664,355758,2.4,390161,5.5,498.5,69883,484520,370177,279594,672267,331981,5099422,247888,1049616,751408,164980,16308,32873,979770,184215,492818,347776,16308,1605467,405327,324011,858368,87.2,61618,826,51039,170.5,4987,193587,614755,5.7,91481,36208,614751,857022,277741,11633,Cifras Definitivas
Límite de confianza superior,Jalisco,629972,605217,479639,817799,34085,465079,2.5,565452,5.9,511.8,95677,575442,521909,354878,854289,389640,6177791,328975,1218999,1017418,384052,27117,47577,1129769,264808,768621,446526,27117,2033483,528332,422289,1130853,98.1,103472,2128,54930,206.9,6685,236799,690517,6.1,104819,133324,690449,1279117,351345,16447,Cifras Definitivas
Coeficiente de variación,Jalisco,4.56,5.33,4.85,3.56,20.33,6.8,0.93,9.36,1.47,0.67,7.95,4.38,8.68,6.05,6.08,4.08,4.88,7.17,3.81,7.67,20.36,12.7,9.33,3.63,9.16,11.16,6.34,12.7,6,6.72,6.72,6.99,3,12.94,22.49,1.87,4.92,7.42,5.12,2.96,1.77,3.47,29.23,2.96,10.08,5.97,8.75,Cifras Definitivas
Estimación,Ciudad de México,104750,125786,90414,140309,5236,40176,2.4,106637,5.1,538.2,11813,82034,25513,66730, , , ,81767,197079,81698,33479,100715,123120,98641,46611,130754,84539,100715, , , , , , , , , , , ,90439,6.4,14403, , , , , ,Cifras Definitivas
Límite de confianza inferior,Ciudad de México,95389,109614,77519,126971,3123,32653,2.3,90548,4.9,502.4,8872,71445,17123,41164, , , ,65626,176814,54744,8809,92887,115103,82429,34973,101408,68275,92887, , , , , , , , , , , ,72718,6,8089, , , , , ,Cifras Definitivas
Límite de confianza superior,Ciudad de México,114110,141959,103310,153647,7348,47699,2.5,122727,5.3,573.9,14754,92623,33903,92295, , , ,97908,217345,108652,58149,108542,131137,114853,58248,160100,100804,108542, , , , , , , , , , , ,108159,6.7,20716, , , , , ,Cifras Definitivas
Coeficiente de variación,Ciudad de México,4.56,6.56,7.28,4.85,20.59,9.55,2.18,7.7,2.07,3.39,12.7,6.59,16.78,19.55, , , ,10.07,5.25,16.83,37.6,3.97,3.32,8.39,12.74,11.45,9.82,3.97, , , , , , , , , , , ,10,2.97,22.37, , , , , ,Cifras Definitivas
Estimación,Michoacán de Ocampo,288011,344944,195212,342827,9646,131162,2.7,319091,5.6,515.4,54982,294659,50921,227395, , , ,359021,580628,185437,56819,45908,83139,567626,217176,260948,79336,45908,440835,134016,105253,222671,94.7,30581,2294,4012,145.9,6310,40951,246504,6.7,46007,42657,108917,260191,142865,29070,Cifras Definitivas
Límite de confianza inferior,Michoacán de Ocampo,275525,327788,182651,320612,6413,118269,2.6,300386,5.4,505.3,46020,265124,40065,201560, , , ,327289,539671,155740,38065,39476,75192,523694,187714,240893,60375,39476,362640,112684,85814,164042,92.9,24778,1219,2469,122.3,4835,29579,233820,6.5,41827,30380,91850,181562,72587,25756,Cifras Definitivas
