ENTIDAD,CULTIVO,ESTIMACION,LIMITE_DE_CONFIANZA_INFERIOR,LIMITE_DE_CONFIANZA_SUPERIOR,COEFICIENTE_DE_VARIACION,ESTATUS
Morelos,Superficie cosechada de Caña de azúcar,20344.75,19853.63,20835.87,1.23,Cifras Definitivas
Nayarit,Superficie cosechada de Caña de azúcar,35633.95,34761.00,36506.90,1.25,Cifras Definitivas
Oaxaca,Superficie cosechada de Caña de azúcar,50935.77,48664.37,53207.17,2.28,Cifras Definitivas
Quintana Roo,Superficie cosechada de Caña de azúcar,24523.08,23743.58,25302.58,1.62,Cifras Definitivas
San Luis Potosí,Superficie cosechada de Caña de azúcar,67794.33,65381.47,70207.19,1.82,Cifras Definitivas
Tamaulipas,Superficie cosechada de Caña de azúcar,50435.35,46567.26,54303.44,3.91,Cifras Definitivas
Veracruz de Ignacio de la Llave,Superficie cosechada de Caña de azúcar,254309.84,246206.19,262413.50,1.63,Cifras Definitivas
Colima,Superficie cosechada de Limón,19607.34,17887.16,21327.52,4.48,Cifras Definitivas
Michoacán de Ocampo,Superficie cosechada de Limón,31279.31,29720.57,32838.05,2.54,Cifras Definitivas
Michoacán de Ocampo,Superficie cosechada de Mango,20827.5,19693.98,21961.02,2.78,Cifras Definitivas
Nayarit,Superficie cosechada de Mango,33242.66,32360.40,34124.92,1.35,Cifras Definitivas
Puebla,Superficie cosechada de Naranja,18739.62,17104.07,20375.17,4.45,Cifras Definitivas
San Luis Potosí,Superficie cosechada de Naranja,33864.56,31872.60,35856.51,3.00,Cifras Definitivas
Veracruz de Ignacio de la Llave,Superficie cosechada de Naranja,152144.78,145442.1,158847.47,2.25,Cifras Definitivas
Campeche,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Colima,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Chiapas,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Nuevo León,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Oaxaca,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Quintana Roo,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Tabasco,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Yucatán,Superficie cosechada de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Tabasco,Superficie cosechada de Plátano,10737.57,10186.63,11288.51,2.62,Cifras Definitivas
Coahuila de Zaragoza,producción de Algodón,50823.51,45850.71,55796.34,4.99,Cifras Definitivas
Chihuahua,producción de Avena forrajera,0.00,0.00,0.00,0.00,Cifras Definitivas
Distrito Federal,producción de Avena forrajera,0.00,0.00,0.00,0.00,Cifras Definitivas
Hidalgo,producción de Cebada,0.00,0.00,0.00,0.00,Cifras Definitivas
Tlaxcala,producción de Cebada,0.00,0.00,0.00,0.00,Cifras Definitivas
Baja California,producción de Cebolla,0.00,0.00,0.00,0.00,Cifras Definitivas
Morelos,producción de Cebolla,48000.34,44846.16,51154.66,3.35,Cifras Definitivas
