COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
AA111_17_MANGO,"Producción de Mango : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de mango en el periodo de referencia. Unidad de medida: Toneladas",float,10.2,0000000000.00-9999999999.99
AA111_17_MANZANA,"Producción de Manzana : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de manzana en el periodo de referencia. Unidad de medida: Toneladas",float,10.2,0000000000.00-9999999999.99
AA111_17_NARANJA,"Producción de Naranja : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de naranja en el periodo de referencia. Unidad de medida: Toneladas",float,10.2,0000000000.00-9999999999.99
AA111_17_PLATANO,"Producción de Plátano : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de plátano en el periodo de referencia. Unidad de medida: Toneladas",float,10.2,0000000000.00-9999999999.99
AA111_17_UVA,"Producción de Uva : Volumen total de la cosecha, expresado en toneladas, que se obtuvo o espera obtener de uva en el periodo de referencia. Unidad de medida: Toneladas",float,10.2,0000000000.00-9999999999.99
UP_US111_01,"Unidades de producción con superficie agrícola : Es la unidad de producción que cuenta con un área utilizada  para la siembra o plantación de cultivos anuales o perennes; incluye la superficie en descanso y la no sembrada por cualquier otra causa, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
UP_AR111_01_2,Unidades de producción con superficie agrícola de temporal : Área agrícola de la unidad de producción en la cual el agua que se necesita para el desarrollo de los cultivos proviene directa y exclusivamente de la lluvia. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
UP_AR111_01_1,"Unidades de producción con superficie de riego : Es la unidad de producción con superficie agrícola y que dispone de agua controlada a través de obras hidráulicas u otros medios hechos por el hombre, sin importar si se regó o no en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
US111_01,"Superficie total agrícola : Área de los terrenos de la unidad de producción utilizada para la siembra o plantación de cultivos anuales o perennes,  Incluye la superficie en descanso y la no sembrada por cualquier otra causa, en el periodo de referencia. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AR111_01_1,"Superficie agrícola de riego : Área agrícola de la unidad de producción que dispone de agua controlada a través de obras hidráulicas u otros medios hechos  por el hombre, sin importar si se regó o no en el periodo de referencia. Unidad de medida: Hectáreas",float,10.2,0000000000.00-9999999999.99
AR111_01_2,Superficie agrícola de temporal : Área agrícola de la unidad de producción en la cual el agua que se necesita para el desarrollo de los cultivos proviene directa  y exclusivamente de la lluvia. Unidad de medida: Hectáreas,float,10.2,0000000000.00-9999999999.99
AR112_01_1,"Unidades de producción con superficie de riego y sistema de riego por gravedad o rodado : Sistema en el que el agua es distribuida utilizando las pendientes naturales del terreno por medio de surcos o canales, de  tierra o revestidos, para abastecer los cultivos o plantaciones. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
AR112_01_1_11,"Sistema de riego de canales recubiertos o revestidos : Construcción de cemento, fibra de vidrio, lámina o plástico, cuya finalidad es posibilitar la conducción del agua a los  terrenos agrícolas para su riego, evitando la pérdida de agua por la filtración. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
AR112_01_1_12,Sistema de riego de canales de tierra : Construcción de tierra que se utiliza para la conducción de agua a los terrenos agrícolas de la unidad de producción para su  riego y que carece de un recubrimiento. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
AR112_01_991,"Unidades de producción con superficie de riego y sistema de riego de tubería de compuerta : Es la unidad económica conformada por uno a más terrenos ubicados en un mismo municipio, en donde en al menos alguno de ellos se realizan actividades agrícolas y que dispone de agua controlada a través del riego por gravedad, específicamente el de tubería de compuerta, sin importar si se regó o no en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
AR112_01_2,"Sistema de riego de microaspersión : Mecanismo constituido por tubos o mangueras mediante las cuales el agua es conducida a presión, y por medio de boquillas  el agua es atomizada formando una nebulización con la que se riegan los cultivos o plantaciones. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
