COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
PR116_4,"Compra de animales de trabajo : Crédito o préstamo que el productor utilizó para la adquisición de caballos de silla, animales de tiro, bueyes para la yunta,  burros, machos y mulas, en el periodo de referencia para ser utilizados en la unidad de producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR116_5,"Compra de ganado o pie de cría : Crédito o préstamo que se el productor utilizó para la adquisición de sementales, vaquillas al parto, ganado de reposición,  ganado de engorda, entre otros, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR116_99,"Otro uso : Crédito o préstamo que el productor utilizó para la adquisición de algo diferente a las opciones anteriormente mencionadas,  pero con el propósito de apoyar la producción agrícola, ganadera o forestal de la unidad de producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR112_2,"Unidades de producción que solicitaron y no obtuvieron crédito : Son aquellas unidades de producción que habiendo solicitado una cantidad de dinero o insumo, para el desarrollo de sus actividades y por alguna causa no lo obtuvieron, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR118_1,Estar en buró de crédito : La no obtención del crédito solicitado por el productor fue por aparecer negativamente referenciado en el buró de crédito. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR118_2,Falta de fiador o aval : La no obtención del crédito solicitado por el productor fue debido a la falta de un fiador o aval que lo respalde. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR118_3,No poder comprobar ingresos : La no obtención del crédito o préstamo por parte del productor se debió la imposibilidad de poder comprobar ingresos. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR118_4,Falta de documentación solicitada : La no obtención del crédito o préstamo por parte del productor fue debido a que no contaba con los documentos requeridos. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR118_5,Rechazo por elevada tasa de interés : El productor no aceptó el crédito o préstamo debido a las altas tasas de interés del mismo. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR118_6,Falta de garantias : El productor no obtuvo el crédito o préstamo porque no posee garantía suficiente que lo avale. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR118_99,Otra causa : El productor no obtuvo el crédito o préstamo por algún motivo diferente a las opciones anteriores. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR111_2,"Unidades de producción que no solicitaron crédito o préstamo : Es la unidad económica conformada por uno a más terrenos ubicados en un mismo municipio, la cual no realizó trámite alguno para obtener una cantidad de dinero o insumos, en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR120_1,"No le interesa : La razón por la por la que el productor no solicitó el crédito o préstamo, fue porque no le interesa. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR120_2,"Altos intereses : La razón por la que el productor no solicitó el crédito o préstamo, fue por los altos intereses que cobrarían. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR120_3,"Desconfianza en los bancos : La causa por la que el productor no solicitó el crédito o préstamo, fue porque no confía en los bancos. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR120_4,"Gran cantidad de requisitos  : La causa por la que el productor no solicitó el crédito o préstamo, fue porque piden muchos requisitos. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR120_5,"No le gusta endeudarse  : La causa por la que el productor no solicitó el crédito o préstamo, fue porque no le gusta endeudarse. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR120_6,"No hay sucursal o le queda muy lejos  : La causa por la que el productor no solicitó el crédito o préstamo, fue porque no hay una sucursal bancaria cerca de donde  vive o la que existe le queda muy lejos. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR120_99,Otra razón  : Causa diferente a las anteriores por la que el productor no solicitó el crédito o préstamo. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SE111_1,"Solicitaron seguro : Es un servicio suministrado por una compañía especializada que cobra a los asegurados una cantidad (prima) a cambio  de una compensación determinada en el caso de que ocurra un siniestro. En el caso del sector agropecuario se trata de un  contrato que los productores realizan con instituciones gubernamentales o privadas para cubrir la inversión monetaria en  cultivos agrícolas, existencias ganaderas y especies forestales, en caso de pérdida total o parcial con cobertura en el periodo  de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE112_1,"Unidades de producción con seguro : Contrato que los productores realizan con instituciones gubernamentales o privadas, mediante el pago de una prima, para  cubrir la inversión que el productor hace, en caso de pérdida total o parcial de sus cultivos o ganado. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE113_1,"Institución de gobierno : Aseguradora oficial que, con costos preferenciales, permite resguardar la inversión de los productores agrícolas, ganaderos o  forestales, frente a situaciones adversas para la producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE113_2,"Fondo de aseguramiento : Es una asociación de productores agrícolas y/o ganaderos o que tienen su residencia en el medio rural, cuyo objetivo es  ofrecer protección mutualista (prestaciones mutuas) y solidaria a sus socios a través de operaciones de seguros y coaseguros  (para ceder los riegos que no pueden asumir directamente) sin fines de lucro, constituidos en términos de la Ley de Fondos  de Aseguramiento Agropecuario y Rural. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE113_3,"Aseguradora privada : Aseguradora privada que, con costos preferenciales, permite resguardar la inversión de los productores agrícolas, ganaderos  o forestales, frente a situaciones adversas para la producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE113_4,"Otra institución : Cualquier institución diferente a la de gobierno, al fondo de aseguramiento y al aseguramiento privado; que asegura la  inversión del productor agrícola, ganadero o forestal ante factores adversos. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE116,"Con pago del Gobierno Federal por causa de algún siniestro : El productor recibió algún pago por parte del Gobierno federal debido a algún siniestro en su unidad de producción, durante  el período de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE114_1,Agrícola : La actividad que cubre el seguro es la relacionada con el cultivo y aprovechamiento de especies vegetales. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SE114_2,"Ganadera : La actividad que cubre el seguro es la relacionada con la cría o explotación de ganado en cualquiera de sus fases (cría,  reproducción, engorda y uso), de ganado bovino, porcino, ovino, caprino, équidos, animales con pelaje fino, aves de corral,  conejos, abejas y otros animales no clasificados en otra parte, como aves de ornato, venados, cocodrilos, entre otras especies. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE114_3,"Forestal : La actividad que cubre el seguro es la relacionada con la plantación, reforestación, conservación y tala de especies forestales  de ciclos productivos mayores de 10 años; al cultivo, en viveros forestales, de especies forestales para tareas de forestación y  reforestación, y/o la recolección de productos forestales, como gomas, resinas y otros productos silvestres. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE114_99,"Otra actividad : La actividad que cubre el seguro es la relacionada con cualquier tipo diferente a la agricultura, ganadería o forestal, como:  minería, ecoturismo, prestación de servicios, pesca, acuicultura, cinegética (caza de animales), beneficiadora de sal,  comercio, entre otras, realizada en la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
SE112_2,"No obtuvieron seguro : Son aquellas unidades de producción que habiendo solicitado un seguro para sus cosechas o animales, por alguna causa no lo obtuvieron en el periodo de referencia. . Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR115_1,"No cumplir con los requisitos : Problema del productor por no contar con el título de propiedad, certificado agrario o la autorización de la asamblea, para el  usufructo de los terrenos de la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR115_2,"No obtuvieron seguro por estar en zona de alto riesgo : PÉRDIDA DE LA COSECHA O ANIMALES POR SEQUÍAS, HELADAS, VIENTOS, INUNDACIONES, GRANIZO:  Problema para el productor asociado a la baja producción causada por siniestros naturales no controlables por el hombre, que  impiden el desarrollo de actividades normales en la unidad de producción en el periodo de referencia.  PROBLEMAS DE INSEGURIDAD:  Problemas del productor relacionado con robo de animales o insumos, amenazas, extorción, secuestros que afectaron la  productividad de la unidad de producción en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
PR115_3,El tipo de cultivo : El tipo de cultivo que se produce en la unidad de producción fue la razón por la que no le otorgaron el seguro al productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
PR115_99,"No obtuvieron seguro por otra causa : Hubo otra causa diferente a las mencionadas con anterioridad, por la que el productor no obtuvo el seguro para las  actividades de la unidad de producción. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
UPTI111,"Unidades de producción que utilizaron alguna de las  tecnologías : Es la unidad económica conformada por uno a más terrenos ubicados en un mismo municipio, en la que fueron utilizadas alguna de las prácticas, conocimientos y técnicas modernas que se aprovechan para mejorar la cantidad y calidad de la producción agropecuaria en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
TI111_1,"Computadora : Uso de equipo electrónico que recibe y procesa datos para convertirlos en información útil, que el productor utiliza para el  desarrollo de las actividades agropecuarias en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
TI111_2,"Internet : Uso de redes de información ya sea para investigación o transmisión de información, que el productor utiliza para el  desarrollo de las actividades agropecuarias en el periodo de referencia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
TI111_3,Teléfono celular : Uso de un dispositivo de comunicación electrónico y portátil que el productor utiliza para el desarrollo de las actividades  agropecuarias en el periodo de referencia. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_TOTAL_R1,Total menores de 18 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_TOTAL_R2,Total de 18 a 25 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_TOTAL_R3,Total de 26 a 45 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_TOTAL_R4,Total de 46 a 60 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_TOTAL_R5,Total de 61 a 75 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_TOTAL_R6,Total de 76 a 85 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_TOTAL_R7,Total mayores de 85 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM,Total hombres : Genero de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM_R1,Hombres menores de 18 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM_R2,Hombres de 18 a 25 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM_R3,Hombres de 26 a 45 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM_R4,Hombres de 46 a 60 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM_R5,Hombres de 61 a 75 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM_R6,Hombres de 76 a 85 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
SD121_HOM_R7,Hombres mayores de 85 años  : Número de años cumplidos de cada uno de los habitantes de la vivienda del productor. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
