"iso","adm1","adm2","umd_tree_cover_extent_2010__ha","area__ha"
"MEX",16,35,75756.85369730125418631,114342.61860925648768361
"MEX",16,36,3321.57186124280429638,9619.51152218474656256
"MEX",16,37,6629.10592513904220523,20056.01821916830787391
"MEX",16,38,24273.35545069547718031,205727.55325271294790553
"MEX",16,39,1963.07871654102594814,7910.69442865950044022
"MEX",16,40,6156.05031908954044847,17649.34588102307182376
"MEX",16,41,1571.60409728953888025,12665.27506325092213607
"MEX",16,42,1543.76531553891045085,12389.70073529851349881
"MEX",16,43,2889.68643121645810965,11868.99042004195957858
"MEX",16,44,2414.91204612507253290,19449.59729223931141769
"MEX",16,45,5655.27793445322007849,24320.03268585073717678
"MEX",16,46,2417.73634349433850945,21970.39276116669561220
"MEX",16,47,6061.74805375494997501,14099.57448028164725992
"MEX",16,48,12584.42702469602002225,26549.23155573064409860
"MEX",16,49,38444.46079545640343296,195202.75854094350864585
"MEX",16,50,4173.75298109653381071,28474.86303665902531808
"MEX",16,51,1100.35585002560418301,7268.08527082505377898
"MEX",16,52,66157.60606780249148909,114897.33013170731322156
"MEX",16,53,28584.93619745265081583,48086.23314479376272350
"MEX",16,54,71370.80033985964889654,101960.72020900178407717
"MEX",16,55,7550.34899737173843674,69768.52320005369708099
"MEX",16,56,3958.06888844264962746,23303.28346941177674604
"MEX",16,57,34783.39767361567311885,119217.62583885459743326
"MEX",16,58,4767.45670191296849869,18338.41435759836707001
"MEX",16,59,754.25186112538239149,37756.70856449601308663
"MEX",16,60,18015.15730202033140073,30416.83379877300148532
"MEX",16,61,23350.32988417437736654,54551.83844980044205929
"MEX",16,62,19007.37758537970634260,23495.83050580577677091
"MEX",16,63,19248.28164231197418698,33041.52865777094973500
"MEX",16,64,85.31032757810999273,7689.35794763874924986
"MEX",16,65,8254.78024933509222906,14224.81723026744027653
"MEX",16,66,1779.84459423463902005,17037.66589698279255105
"MEX",16,67,7412.96256748569956884,28922.76190026539807082
"MEX",16,68,11517.97963217153780370,24418.50534960110702222
"MEX",16,69,2965.64911751033575561,50339.45753368860426058
"MEX",16,70,23142.17224331810572510,43851.61092925521897055
"MEX",16,71,7038.60001031095542083,37123.75713092594162533
"MEX",16,72,20686.45131662193852164,33180.77437934292769490
"MEX",16,73,8022.94840808172674280,19267.30155417990139181
"MEX",16,74,17563.94995723290324874,71889.78874002570863496
"MEX",16,75,14221.59545576322866261,23484.23253884483899392
"MEX",16,76,11352.60212563839790848,21336.43364977358838975
"MEX",16,77,1851.10894383777777404,12813.04059989182049033
"MEX",16,78,23058.45515475334599377,48785.14577626852777385
"MEX",16,79,3382.02383121478849556,46792.26445666705715978
"MEX",16,80,1171.36974475002077374,10410.88535135952047050
"MEX",16,81,10553.54219501576661105,25032.51831331827411076
"MEX",16,82,10919.70841768163442465,26795.29135786829167424
"MEX",16,83,41063.48361856140981494,78683.02833080099847991
"MEX",16,84,52634.30521360536526832,71427.15756158049077190
"MEX",16,85,15894.70718214485380223,31609.32456538347299971
"MEX",16,86,13796.12874948653324741,38515.46129549006152788
"MEX",16,87,4560.16091299642461761,22804.85917944513262143
"MEX",16,88,7845.14714133135118900,18510.51671816795075028
"MEX",16,89,1253.80588581969526806,25585.62395597903899757
"MEX",16,90,13302.16937284134257536,79811.26035935543796219
"MEX",16,91,13840.95762777910110273,18973.07740780057594130
"MEX",16,92,9929.69279305917546349,17276.77206657157536962
"MEX",16,93,58231.16064061919373530,149300.04501526374089973
"MEX",16,94,7605.17832236965043575,19719.64338843635693472
"MEX",16,95,7561.61958490100946749,20375.88049035293645692
"MEX",16,96,28273.32937767991928028,50605.59424099492508267
"MEX",16,97,141604.57694721405453708,206244.95472092519071619
"MEX",16,98,65287.78469036221778316,154610.29690590051795504
"MEX",16,99,11840.71003803617747962,24344.54851158894194536
"MEX",16,100,39189.40517837576758135,101809.58295182479524782
"MEX",16,101,6035.23526796719041558,18437.81285377616631871
"MEX",16,102,57805.61109036784863979,94130.70394253397428395
"MEX",16,103,64269.48691130161316785,101297.08625753212687306
"MEX",16,104,647.87098244231794620,22762.88180244802051879
"MEX",16,105,7571.82450239232795105,35017.41290728020608434
"MEX",16,106,132.49002072180086867,14760.54725038069114638
"MEX",16,107,4270.72038225827272372,17437.90312250145482162
"MEX",16,108,19645.41676025849912545,45463.59579918488336632
"MEX",16,109,6774.04984542606964103,33504.33141690624921777
"MEX",16,110,1436.40962655439698427,11317.48535646920765240
"MEX",16,111,20184.53592295993520506,59641.06329097189383276
"MEX",16,112,9958.89991024371819348,15999.84159963531290984
"MEX",16,113,26744.83826615013576795,51258.74238628855063667
