municipio,ha_agricola_total,ha_forestal_total,ha_urbana,ha_aguacate,ton_aguacate,pct_bosque,pct_aguacate_en_agri,fase_narrativa,baseline_def_nacional,state_reforestacion_total,state_unidades_forestales,impact_ratio
La Huacana,65870.3943,45227.6183,4004.04585707,43.25,341.1,0.4070928916608571,0.0006565824279204607,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0006565923957130464
Jacona,4904.0179,0.0,2028.94774861,43.24,409.3416,0.0,0.008815462222879962,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.008817259822807743
Jiquilpan,12523.6775,0.0,1588.23332475,40.313,369.7295,0.0,0.003218685670748808,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0032189426787778593
Aporo,1860.592,630.3235,327.52457647,37.1196,315.4179,0.2529473812414586,0.019939707519155647,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.01995042438105721
Angangueo,765.6708,5898.2213,281.67347334,34.0717,56.1616,0.8849687604094896,0.04444110823054693,Introducción (Ecosistema Forestal),-0.21,11410.33,517.0,0.04449915028756484
Venustiano Carranza,16925.885,0.0,2067.28646407,32.0733,340.7227,0.0,0.001894814078313878,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0018949260260246366
Aguililla,89400.7351,4314.8428,1698.93634701,32.0,205.9,0.04604140373759849,0.000357934887552311,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00035793889126533587
Chinicuila,63703.9152,2888.513,616.35475543,32.0,220.0094,0.043375346157655835,0.0005023160285126633,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0005023239136799554
Álvaro Obregón,10574.924,0.0,1158.84185978,30.42,338.2276,0.0,0.0028763444215370686,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0028766164182361972
Morelos,5787.6422,0.0,444.34745696,28.8345,113.354,0.0,0.004981219948263515,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0049820806130689965
Puruándiro,27398.2645,0.0,4597.53277118,26.06,250.5545,0.0,0.0009511204214989055,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0009511551361218517
Tlazazalca,6242.5511,0.0,833.18997038,24.81,251.284,0.0,0.003973700159193059,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.00397433670987491
Villamar,14558.4272,0.0,1658.0052277,19.05,2.0,0.0,0.0013084305954014456,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0013085204698485562
Senguio,8683.6625,5583.9147,878.69798661,18.1044,193.3672,0.3913434830769252,0.0020846405948417683,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0020848806595143462
Paracho,9999.1517,2941.0063,843.63517611,17.5128,96.9925,0.227259902089133,0.0017512534334854137,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0017514285736859056
Indaparapeo,7922.0648,761.3321,1138.94419167,16.1099,164.8008,0.08766666341562533,0.002033291460647905,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.002033548122454136
Contepec,20031.0549,551.422,2465.8775888,14.1484,134.4499,0.02678954593915084,0.0007062880004387368,Resolución (Zonas de Transición),-0.21,11410.33,517.0,0.0007063232600895123
