Claves_de_serie,Descripción_de_la_serie
1620,"Emisiones de dióxido de carbono total por residuos (Kg de CO<sub>2</sub>e)"
1621,"Emisiones de dióxido de carbono total por agricultura, silvicultura y otros usos de la tierra (Kg de CO<sub>2</sub>e)"
1622,"Emisiones de dióxido de carbono total por procesos industriales y uso de productos (Kg de CO<sub>2</sub>e)"
1623,"Emisiones de dióxido de carbono total por energía (Kg de CO<sub>2</sub>e)"
1626,"Tiempo de traslado al trabajo (minutos por semana)"
1627,"Total de población de 15 años y más que se traslada al trabajo"
1628,"Población de niños y niñas menores de 5 años con talla baja para la edad (<-2Z)"
1629,"Total de niños y niñas menores de 5 años"
1631,"Tiempo de traslado al trabajo (minutos por semana)"
1632,"Total de población de 15 años y más que se traslada al trabajo"
1634,"Total de niños y niñas menores de 5 años con emaciación"
1635,"Total de niños y niñas menores de 5 años"
1637,"Total de niños y niñas menores de 5 años con sobrepeso u obesidad"
1638,"Total de niños y niñas menores de 5 años"
1640,"Total de niños y niñas menores de 5 años con malnutrición (emaciación más sobrepeso u obesidad)"
1641,"Total de niños y niñas menores de 5 años"
1643,"Población de 65 años o más que recibe una jubilación o pensión igual o mayor al valor promedio de la línea de pobreza por ingresos"
1644,"Población total de 65 años o más que recibe una  jubilación o pensión"
1646,"Mujeres en edad fértil (15 a 49 años) sexualmente activas que desean espaciar o limitar el nacimiento de próximos hijos(as), pero no hacen uso de método anticonceptivo alguno"
1647,"Mujeres en edad fértil (15 a 49 años) sexualmente activas"
1652,"Producción de electricidad de fuentes limpias y renovables"
1653,"Producción nacional total de energia"
1656,"Emisiones GEI sector Energía"
1657,"Emisiones GEI sector Procesos industriales y uso de productos"
1658,"Emisiones GEI sector Residuos"
1661,"Tiempo de traslado al trabajo (minutos por semana)"
1662,"Total de población de 15 años y más que se traslada al trabajo"
1663,"Población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral"
1664,"Población total ocupada con hijos(as) de seis años o menos"
1666,"Tiempo de traslado al trabajo (minutos por semana)"
1667,"Total de población de 15 años y más que se traslada al trabajo"
1677,"Ingreso laboral total de la población de 12 años o más según sexo por entidad federativa"
1679,"Población de 12 años o más ocupada según sexo por entidad federativa"
1681,"Población con carencia por acceso a la alimentación nutritiva y de calidad"
1682,"Población de referencia"
1687,"Mujeres"
1688,"Hombres"
1699,"Población de 65 años o más que recibe una jubilación o pensión igual o mayor al valor promedio de la línea de pobreza por ingresos"
1700,"Población total de 65 años o más que recibe una  jubilación o pensión"
1702,"Población derechohabiente a las instituciones de seguridad social y de la población afiliada al Seguro Popular que se atiende en las instituciones públicas de salud y que no gastó en servicios médicos."
1703,"Población con acceso a servicios de salud en instituciones públicas"
1705,"Población con carencia por acceso a la alimentación nutritiva y de calidad"
1706,"Población de referencia"
1708,"Población que presenta carencia por acceso a la seguridad social"
1709,"Población de referencia"
1711,"Población cuyo tiempo de traslado a un hospital es menor a dos horas"
1712,"Población total"
1714,"Población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral"
1715,"Población total ocupada con hijos(as) de seis años o menos"
1717,"Población con inseguridad alimentaria moderada o severa"
1718,"Población de referencia"
1720,"Población con inseguridad alimentaria moderada o severa"
1721,"Población de referencia"
1723,"Población en situación de pobreza"
1724,"Población de referencia"
1726,"Población en situación de pobreza"
1727,"Población de referencia"
